model,model_label,answer_set_error,count,total,rate,saved_examples,avg_example_f1,partial_overlap_rate,exact_miss_rate,avg_gold_answer_count,avg_pred_answer_count
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,correct,402,1500,0.268,1500,0.44909788832275593,0.39,0.342,7.46,4.811333333333334
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,exact miss,513,1500,0.342,1500,0.44909788832275593,0.39,0.342,7.46,4.811333333333334
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,partial: incomplete answer set,208,1500,0.13866666666666666,1500,0.44909788832275593,0.39,0.342,7.46,4.811333333333334
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,partial: missing + extra,243,1500,0.162,1500,0.44909788832275593,0.39,0.342,7.46,4.811333333333334
Qwen2.5-0.5B GraphRAG Hybrid,Hybrid 0.5B,partial: overgeneration,134,1500,0.08933333333333333,1500,0.44909788832275593,0.39,0.342,7.46,4.811333333333334
Qwen2.5-1.5B GraphRAG Hybrid,Hybrid 1.5B,correct,569,1500,0.37933333333333336,1500,0.5540137077227751,0.384,0.23666666666666666,7.46,5.676666666666667
Qwen2.5-1.5B GraphRAG Hybrid,Hybrid 1.5B,exact miss,355,1500,0.23666666666666666,1500,0.5540137077227751,0.384,0.23666666666666666,7.46,5.676666666666667
Qwen2.5-1.5B GraphRAG Hybrid,Hybrid 1.5B,partial: incomplete answer set,148,1500,0.09866666666666667,1500,0.5540137077227751,0.384,0.23666666666666666,7.46,5.676666666666667
Qwen2.5-1.5B GraphRAG Hybrid,Hybrid 1.5B,partial: missing + extra,242,1500,0.16133333333333333,1500,0.5540137077227751,0.384,0.23666666666666666,7.46,5.676666666666667
Qwen2.5-1.5B GraphRAG Hybrid,Hybrid 1.5B,partial: overgeneration,186,1500,0.124,1500,0.5540137077227751,0.384,0.23666666666666666,7.46,5.676666666666667
Qwen2.5-3B GraphRAG Hybrid,Hybrid 3B,correct,711,1500,0.474,1500,0.6151614084007176,0.322,0.204,7.46,7.136
Qwen2.5-3B GraphRAG Hybrid,Hybrid 3B,exact miss,306,1500,0.204,1500,0.6151614084007176,0.322,0.204,7.46,7.136
Qwen2.5-3B GraphRAG Hybrid,Hybrid 3B,partial: incomplete answer set,139,1500,0.09266666666666666,1500,0.6151614084007176,0.322,0.204,7.46,7.136
Qwen2.5-3B GraphRAG Hybrid,Hybrid 3B,partial: missing + extra,207,1500,0.138,1500,0.6151614084007176,0.322,0.204,7.46,7.136
Qwen2.5-3B GraphRAG Hybrid,Hybrid 3B,partial: overgeneration,137,1500,0.09133333333333334,1500,0.6151614084007176,0.322,0.204,7.46,7.136
